timestamp_unix,timestamp_polar_ns,sample_index,ecg_uv
1778658249.177685,599617210858228231,13651,-120
1778658249.185378,599617210865920538,13651,-115
1778658249.193070,599617210873612845,13651,-113
1778658249.200763,599617210881305152,13651,-103
1778658249.208455,599617210888997459,13651,-91
1778658249.216147,599617210896689766,13651,-88
1778658249.223839,599617210904382073,13651,-93
1778658249.231532,599617210912074380,13651,-103
1778658249.239224,599617210919766687,13651,-108
1778658249.246916,599617210927458994,13651,-105
1778658249.254609,599617210935151301,13651,-110
1778658249.262301,599617210942843608,13651,-120
1778658249.269993,599617210950535915,13651,-122
1778658249.277685,599617210958228222,13651,-120
1778658249.285378,599617210965920529,13651,-117
1778658249.293070,599617210973612836,13651,-117
1778658249.300762,599617210981305143,13651,-117
1778658249.308455,599617210988997450,13651,-115
1778658249.316147,599617210996689757,13651,-113
1778658249.323839,599617211004382064,13651,-103
1778658249.331532,599617211012074371,13651,-84
1778658249.339224,599617211019766678,13651,21
1778658249.346916,599617211027458985,13651,283
1778658249.354609,599617211035151292,13651,632
1778658249.362301,599617211042843599,13651,668
1778658249.369993,599617211050535906,13651,122
1778658249.377686,599617211058228213,13651,-452
1778658249.385378,599617211065920520,13651,-456
1778658249.393070,599617211073612827,13651,-211
1778658249.400762,599617211081305134,13651,-149
1778658249.408455,599617211088997441,13651,-170
1778658249.416147,599617211096689748,13651,-141
1778658249.423839,599617211104382055,13651,-120
1778658249.431532,599617211112074362,13651,-129
1778658249.418627,599617211119525488,13724,-120
1778658249.426319,599617211127217795,13724,-101
1778658249.434012,599617211134910102,13724,-101
1778658249.441704,599617211142602409,13724,-96
1778658249.449396,599617211150294716,13724,-86
1778658249.457088,599617211157987023,13724,-84
1778658249.464781,599617211165679330,13724,-76
1778658249.472473,599617211173371637,13724,-67
1778658249.480165,599617211181063944,13724,-62
1778658249.487858,599617211188756251,13724,-57
1778658249.495550,599617211196448558,13724,-52
1778658249.503242,599617211204140865,13724,-45
1778658249.510935,599617211211833172,13724,-36
1778658249.518627,599617211219525479,13724,-26
1778658249.526319,599617211227217786,13724,-14
1778658249.534012,599617211234910093,13724,-4
