timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778658243.687040,599617206241696472,2556,-1012.0,16.0,-163.0,1025.17
1778658243.727040,599617206281696472,2556,-1012.0,11.0,-157.0,1024.17
1778658243.767040,599617206321696472,2556,-1014.0,10.0,-151.0,1025.23
1778658243.807040,599617206361696472,2556,-1012.0,11.0,-155.0,1023.86
1778658243.847040,599617206401696472,2556,-1011.0,16.0,-154.0,1022.79
1778658243.887040,599617206441696472,2556,-1011.0,18.0,-159.0,1023.58
1778658243.927040,599617206481696472,2556,-1013.0,19.0,-148.0,1023.93
1778658243.967040,599617206521696472,2556,-1013.0,18.0,-149.0,1024.06
1778658244.007040,599617206561696472,2556,-1013.0,30.0,-147.0,1024.05
1778658244.047040,599617206601696472,2556,-1012.0,26.0,-142.0,1022.24
1778658244.087040,599617206641696472,2556,-1013.0,26.0,-148.0,1024.08
1778658244.127040,599617206681696472,2556,-1014.0,23.0,-155.0,1026.04
1778658244.167040,599617206721696472,2556,-1013.0,16.0,-154.0,1024.76
1778658244.207040,599617206761696472,2556,-1012.0,9.0,-150.0,1023.1
1778658244.247040,599617206801696472,2556,-1014.0,14.0,-144.0,1024.27
1778658244.287040,599617206841696472,2556,-1012.0,9.0,-137.0,1021.27
1778658244.327040,599617206881696472,2556,-1013.0,15.0,-138.0,1022.47
1778658244.367040,599617206921696472,2556,-1014.0,20.0,-140.0,1023.81
1778658244.407040,599617206961696472,2556,-1014.0,19.0,-137.0,1023.39
1778658244.447040,599617207001696472,2556,-1013.0,19.0,-143.0,1023.22
1778658244.487040,599617207041696472,2556,-1013.0,22.0,-145.0,1023.56
1778658244.527040,599617207081696472,2556,-1014.0,18.0,-136.0,1023.24
1778658244.567040,599617207121696472,2556,-1013.0,12.0,-161.0,1025.78
1778658244.607040,599617207161696472,2556,-1015.0,15.0,-144.0,1025.27
1778658244.647040,599617207201696472,2556,-1012.0,17.0,-148.0,1022.91
1778658244.687040,599617207241696472,2556,-1012.0,20.0,-136.0,1021.29
1778658244.727040,599617207281696472,2556,-1014.0,16.0,-138.0,1023.47
1778658244.767040,599617207321696472,2556,-1015.0,21.0,-143.0,1025.24
1778658244.807040,599617207361696472,2556,-1012.0,13.0,-135.0,1021.05
1778658244.847040,599617207401696472,2556,-1012.0,18.0,-135.0,1021.12
1778658244.887040,599617207441696472,2556,-1014.0,23.0,-133.0,1022.94
1778658244.879437,599617207462492484,2592,-1014.0,19.0,-130.0,1022.48
1778658244.919438,599617207502492484,2592,-1012.0,21.0,-144.0,1022.41
1778658244.959438,599617207542492484,2592,-1014.0,16.0,-131.0,1022.55
1778658244.999438,599617207582492484,2592,-1014.0,16.0,-142.0,1024.02
1778658245.039438,599617207622492484,2592,-1014.0,24.0,-147.0,1024.88
1778658245.079437,599617207662492484,2592,-1013.0,20.0,-141.0,1022.96
1778658245.119437,599617207702492484,2592,-1012.0,16.0,-139.0,1021.63
1778658245.159438,599617207742492484,2592,-1014.0,15.0,-137.0,1023.32
1778658245.199438,599617207782492484,2592,-1016.0,22.0,-145.0,1026.53
1778658245.239438,599617207822492484,2592,-1015.0,24.0,-146.0,1025.73
1778658245.279438,599617207862492484,2592,-1013.0,22.0,-142.0,1023.14
1778658245.319438,599617207902492484,2592,-1012.0,23.0,-141.0,1022.03
1778658245.359437,599617207942492484,2592,-1015.0,35.0,-150.0,1026.62
1778658245.399437,599617207982492484,2592,-1010.0,25.0,-140.0,1019.96
1778658245.439438,599617208022492484,2592,-1009.0,13.0,-127.0,1017.04
1778658245.479438,599617208062492484,2592,-1016.0,14.0,-138.0,1025.42
1778658245.519438,599617208102492484,2592,-1016.0,13.0,-153.0,1027.54
1778658245.559438,599617208142492484,2592,-1011.0,16.0,-141.0,1020.91
1778658245.599437,599617208182492484,2592,-1010.0,22.0,-142.0,1020.17
1778658245.639437,599617208222492484,2592,-1014.0,26.0,-139.0,1023.81
1778658245.679438,599617208262492484,2592,-1014.0,35.0,-143.0,1024.63
1778658245.719438,599617208302492484,2592,-1017.0,29.0,-144.0,1027.55
1778658245.759438,599617208342492484,2592,-1016.0,16.0,-156.0,1028.03
1778658245.799438,599617208382492484,2592,-1015.0,29.0,-147.0,1026.0
1778658245.839437,599617208422492484,2592,-1019.0,30.0,-143.0,1029.42
1778658245.879437,599617208462492484,2592,-1026.0,5.0,-180.0,1041.68
1778658245.919438,599617208502492484,2592,-1012.0,16.0,-138.0,1021.49
1778658245.959438,599617208542492484,2592,-1014.0,23.0,-100.0,1019.18
